Date,Close/Last,Volume,Open,High,Low
7/28/2022,$226.02 ,8972738,$224.60 ,$228.10 ,$219.67 
7/27/2022,$226.75 ,10508390,$216.48 ,$227.78 ,$214.58 
7/26/2022,$213.91 ,9508532,$216.66 ,$219.39 ,$211.64 
7/25/2022,$218.51 ,10935250,$221.31 ,$225.23 ,$216.35 
7/22/2022,$220.44 ,17805450,$222.38 ,$229.35 ,$218.44 
7/21/2022,$223.88 ,23430120,$214.30 ,$224.32 ,$211.50 
7/20/2022,$216.44 ,53920270,$208.17 ,$216.97 ,$200.10 
7/19/2022,$201.63 ,28178720,$193.02 ,$201.97 ,$188.40 
7/18/2022,$190.92 ,16322850,$192.50 ,$199.67 ,$189.80 
7/15/2022,$189.11 ,16319120,$175.58 ,$189.22 ,$174.56 
7/14/2022,$174.78 ,9039457,$175.56 ,$177.52 ,$171.82 
7/13/2022,$176.56 ,12734420,$170.50 ,$179.18 ,$169.70 
7/12/2022,$174.45 ,6845264,$177.33 ,$179.78 ,$173.42 
7/11/2022,$177.34 ,6048447,$184.73 ,$184.99 ,$176.89 
7/8/2022,$186.98 ,5835680,$186.02 ,$189.91 ,$182.75 
7/7/2022,$189.27 ,6334545,$184.27 ,$190.21 ,$183.50 
7/6/2022,$184.06 ,5753385,$185.20 ,$186.22 ,$180.82 
7/5/2022,$185.88 ,7339023,$176.28 ,$185.92 ,$172.68 
7/1/2022,$179.95 ,5201583,$176.49 ,$180.10 ,$174.27 
6/30/2022,$174.87 ,7894710,$177.07 ,$179.45 ,$170.30 
6/29/2022,$178.36 ,5766847,$179.55 ,$180.67 ,$175.10 
6/28/2022,$179.60 ,7201897,$189.20 ,$192.20 ,$179.37 
6/27/2022,$189.14 ,8363879,$191.77 ,$191.78 ,$182.39 
6/24/2022,$190.85 ,12423970,$183.50 ,$191.19 ,$181.84 
6/23/2022,$181.71 ,9538226,$180.50 ,$182.76 ,$175.87 
6/22/2022,$178.89 ,12010620,$170.75 ,$182.82 ,$170.20 
6/21/2022,$170.91 ,12177590,$177.60 ,$178.62 ,$169.80 
6/17/2022,$175.51 ,12133370,$173.63 ,$179.65 ,$173.34 
6/16/2022,$173.35 ,8201306,$174 ,$176.27 ,$171.56 
6/15/2022,$180.11 ,12396040,$169.26 ,$183.85 ,$168.53 
6/14/2022,$167.54 ,11555320,$169.75 ,$172.06 ,$164.28 
6/13/2022,$169.69 ,10222410,$177.07 ,$179.09 ,$168.96 
6/10/2022,$182.94 ,13074280,$182.64 ,$185.86 ,$180.85 
6/9/2022,$192.77 ,6948967,$200.65 ,$201.69 ,$192.54 
6/8/2022,$202.83 ,7244121,$197.95 ,$207.38 ,$197.64 
6/7/2022,$198.61 ,4839491,$194.87 ,$199.60 ,$193 
6/6/2022,$197.14 ,5372043,$202.09 ,$203.87 ,$195.38 
6/3/2022,$198.98 ,7191775,$200.14 ,$202.95 ,$198.05 
6/2/2022,$205.09 ,9623121,$192.02 ,$205.47 ,$191.72 
6/1/2022,$192.91 ,8416151,$198.70 ,$202.74 ,$191.66 
5/31/2022,$197.44 ,11398460,$196.18 ,$199.95 ,$190.80 
5/27/2022,$195.19 ,8585987,$193.19 ,$195.25 ,$190.37 
5/26/2022,$191.40 ,8049933,$186.49 ,$192.34 ,$183.09 
5/25/2022,$187.83 ,8522092,$180.28 ,$188.87 ,$180.17 
5/24/2022,$180.34 ,7706372,$182 ,$184 ,$177.17 
5/23/2022,$187.44 ,9602027,$186.15 ,$187.66 ,$177.89 
5/20/2022,$186.35 ,10429400,$185.87 ,$190.19 ,$179.77 
5/19/2022,$183.48 ,10448510,$178.05 ,$186.30 ,$175.71 
5/18/2022,$177.19 ,9665632,$186.72 ,$187.70 ,$176.27 
5/17/2022,$190.56 ,9876685,$189.17 ,$191.40 ,$185.17 
5/16/2022,$186.51 ,16145010,$193.30 ,$195.89 ,$185.70 
5/13/2022,$187.64 ,13136330,$177.16 ,$187.77 ,$176.01 
5/12/2022,$174.31 ,17662120,$163.96 ,$177.58 ,$162.71 
